asset_id,asset_name,asset_code,evidence_type,feature_name,numeric_value,text_value,unit,component,source_tier,source_authority,source_key,source_title,is_derived,verification_method,is_synthetic,is_current_condition_label,is_health_label,is_risk_label,is_rul_label,verified_at
2,Godavari Arch Bridge,AP_BR_00001,CONSTRUCTION_HISTORY,construction_start_year,1991.0,,YEAR,WHOLE_BRIDGE,A2_GOVERNMENT_PUBLIC_INFORMATION,East Godavari District Administration,EAST_GODAVARI_ENGINEERING_TOURISM,Engineering Tourism - Arch Bridge,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,CONSTRUCTION_HISTORY,construction_completion_year,1997.0,,YEAR,WHOLE_BRIDGE,A2_GOVERNMENT_PUBLIC_INFORMATION,East Godavari District Administration,EAST_GODAVARI_ENGINEERING_TOURISM,Engineering Tourism - Arch Bridge,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,OPERATION_HISTORY,full_operation_year,2003.0,,YEAR,WHOLE_BRIDGE,A2_GOVERNMENT_PUBLIC_INFORMATION,East Godavari District Administration,EAST_GODAVARI_ENGINEERING_TOURISM,Engineering Tourism - Arch Bridge,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,GEOMETRY,reported_total_length_m,2745.0,,M,WHOLE_BRIDGE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian Engineering Heritage Technical Reference,GODAVARI_ARCH_TECH_REFERENCE,Technical design reference for Godavari Arch Bridge,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,STRUCTURAL_GEOMETRY,arch_span_count,28.0,,SPANS,ARCH_SUPERSTRUCTURE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,STRUCTURAL_GEOMETRY,pier_count,28.0,,PIERS,SUBSTRUCTURE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian Railway technical reference chain,GODAVARI_ARCH_PIER_REFERENCE,Godavari Arch Bridge technical specifications,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,STRUCTURAL_GEOMETRY,main_span_m,97.552,,M,ARCH_SPAN,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,STRUCTURAL_SYSTEM,bridge_type,,BOW_STRING_GIRDER_PRESTRESSED_RCC_ARCH,,SUPERSTRUCTURE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,MATERIAL,arch_concrete_grade,45.0,M45_REINFORCED_CONCRETE,MPA_GRADE,TWIN_ARCHES,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,STRUCTURAL_GEOMETRY,arch_width_m,0.8,,M,TWIN_ARCHES,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,STRUCTURAL_GEOMETRY,arch_depth_springing_m,1.7,,M,TWIN_ARCHES,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,STRUCTURAL_GEOMETRY,arch_depth_crown_m,1.15,,M,TWIN_ARCHES,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
2,Godavari Arch Bridge,AP_BR_00001,DESIGN_PARAMETER,design_train_speed_kmph,160.0,,KM_PER_HOUR,WHOLE_BRIDGE,B1_TECHNICAL_ENGINEERING_REFERENCE,Indian National Academy of Engineering reference,INAE_GODAVARI_ARCH_REFERENCE,Indian Engineering Heritage - Railways,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,PROJECT_GEOMETRY,nh65_project_corridor_length_m,5122.0,,M,NH65_PROJECT_CORRIDOR,A1_PRIMARY_GOVERNMENT,Ministry of Road Transport and Highways,MORTH_KANAKA_DURGA_PROJECT,Andhra Pradesh infrastructure project booklet,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,GEOMETRY,elevated_flyover_length_m,2600.0,,M,ELEVATED_FLYOVER,C1_PEER_REVIEWED_PROJECT_CASE_STUDY,Materials Today: Proceedings project case study,KDF_MATERIALS_TODAY_2021,Kanaka Durga Flyover project case study,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,STRUCTURAL_GEOMETRY,pier_count,45.0,,PIERS,ELEVATED_FLYOVER,C1_PEER_REVIEWED_PROJECT_CASE_STUDY,Materials Today: Proceedings project case study,KDF_MATERIALS_TODAY_2021,Kanaka Durga Flyover project case study based on project reports,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,STRUCTURAL_GEOMETRY,abutment_count,2.0,,ABUTMENTS,ELEVATED_FLYOVER,C1_PEER_REVIEWED_PROJECT_CASE_STUDY,Materials Today: Proceedings project case study,KDF_MATERIALS_TODAY_2021,Kanaka Durga Flyover project case study based on project reports,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,GEOMETRY,lane_count,6.0,SIX_LANE,LANES,ELEVATED_FLYOVER,C2_INDUSTRY_PROJECT_TECHNICAL_DISCLOSURE,Tata Steel,TATA_KANAKA_DURGA_2020,Kanaka Durga Flyover technical project release,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,GEOMETRY,flyover_width_m,23.7744,SOURCE_REPORTED_78_FT,M,ELEVATED_FLYOVER,C2_INDUSTRY_PROJECT_TECHNICAL_DISCLOSURE,Tata Steel,TATA_KANAKA_DURGA_2020,Kanaka Durga Flyover technical project release,True,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,STRUCTURAL_GEOMETRY,reported_span_between_pillars_m,45.0,,M,ELEVATED_FLYOVER,C2_INDUSTRY_PROJECT_TECHNICAL_DISCLOSURE,Tata Steel,TATA_KANAKA_DURGA_2020,Kanaka Durga Flyover technical project release,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,MATERIAL,lrpc_strands_quantity_t,2000.0,LOW_RELAXATION_PRESTRESSED_CONCRETE_STRANDS,METRIC_TONNES,FLYOVER_STRUCTURE,C2_INDUSTRY_PROJECT_TECHNICAL_DISCLOSURE,Tata Steel,TATA_KANAKA_DURGA_2020,Kanaka Durga Flyover technical project release,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,MATERIAL,tmt_steel_quantity_t,10000.0,TMT_REINFORCEMENT_STEEL,METRIC_TONNES,FLYOVER_STRUCTURE,C2_INDUSTRY_PROJECT_TECHNICAL_DISCLOSURE,Tata Steel,TATA_KANAKA_DURGA_2020,Kanaka Durga Flyover technical project release,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,OPERATION_HISTORY,opening_year,2020.0,,YEAR,WHOLE_FLYOVER,C2_INDUSTRY_PROJECT_TECHNICAL_DISCLOSURE,Tata Steel,TATA_KANAKA_DURGA_2020,Kanaka Durga Flyover technical project release,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
4,Kanaka Durga Flyover,AP_BR_00002,MAINTENANCE_PROCUREMENT,short_term_maintenance_2025,25151174.0,Short Term Maintenance to Kanaka Durga Flyover / NH-65 missing-link corridor,INR,FLYOVER_CORRIDOR,A1_PRIMARY_GOVERNMENT,Government of India eProcurement / R&B NH Division Vijayawada,GOI_EPROCURE_KDF_2025,2025 Short Term Maintenance tender,False,WEB_VERIFIED_SOURCE_REVIEW,False,False,False,False,False,2026-09-03 13:39:39.738103+00:00
