id,asset_id,asset_code,asset_name,canonical_name,district,evidence_type,feature_name,text_value,numeric_value,unit,event_year,material,component,evidence_strength,engineering_use,source_authority,source_system,source_url,work_completion_confirmed,is_structural_condition_label,notes,verification_method,is_synthetic,is_derived,is_health_label,is_risk_label,is_rul_label,feature_version,created_at
1,199,AP_TEMPLE_KANAKA_DURGA,Sri Durga Malleswara Swamy Varla Devasthanam,Sri Durga Malleswara Swamy Varla Devasthanam,NTR,HISTORICAL_ARCHITECTURE_CONTEXT,historic_hill_temple_context,Ancient temple complex situated on Indrakeeladri hill.,,,,,TEMPLE_COMPLEX,MODERATE,CONTEXT_ONLY,Sri Durga Malleswara Swamy Varla Devasthanam,Official Devasthanam,https://www.kanakadurgamma.org/,,False,No exact verified structural dimension or current condition measurement stored.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
2,202,AP_TEMPLE_SRIKALAHASTI,Sri Kalahasteeswara Swamy Temple,Sri Kalahastheeswara Swamy Vari Devasthanam,Tirupati,HISTORICAL_ARCHITECTURE,southern_gopuram_period,Official history places construction of the southern gopuram in the 12th century.,12.0,CENTURY_CE,,,SOUTHERN_GOPURAM,HIGH,AGE_CONTEXT,Sri Kalahastheeswara Swamy Vari Devasthanam,Official Temple Website,https://srikalahasthitemple.org/history,True,False,Historical construction evidence; not current structural condition.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
3,202,AP_TEMPLE_SRIKALAHASTI,Sri Kalahasteeswara Swamy Temple,Sri Kalahastheeswara Swamy Vari Devasthanam,Tirupati,HISTORICAL_ARCHITECTURE,royal_hall_period,Official history identifies a royal hall/porch associated with 16th-century Vijayanagara development.,16.0,CENTURY_CE,1529,,ROYAL_HALL_MANDAPAM,HIGH,AGE_CONTEXT,Sri Kalahastheeswara Swamy Vari Devasthanam,Official Temple Website,https://srikalahasthitemple.org/history,True,False,Historic architectural evidence.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
4,202,AP_TEMPLE_SRIKALAHASTI,Sri Kalahasteeswara Swamy Temple,Sri Kalahastheeswara Swamy Vari Devasthanam,Tirupati,MATERIAL_HISTORY,brick_historic_components,Official history records some cave/gopuram-related historical constructions using bricks.,,,,BRICK,HISTORIC_COMPONENTS,MODERATE,MATERIAL_CONTEXT,Sri Kalahastheeswara Swamy Vari Devasthanam,Official Temple Website,https://srikalahasthitemple.org/history,True,False,Does not imply the entire present temple is brick.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
5,198,AP_TEMPLE_SRISAILAM,"Sri Mallikarjuna Swamy Temple, Srisailam",Sri Bhramaramba Mallikarjuna Swamy Varla Devasthanam,Nandyal,HISTORICAL_ARCHITECTURE,multi_period_gopuram_mandapam,Official Devasthanam history records multiple gopurams and mandapams constructed or developed under historic dynasties.,,,,,GOPURAMS_AND_MANDAPAMS,HIGH,AGE_CONTEXT,Sri Bhramaramba Mallikarjuna Swamy Varla Devasthanam,Official Devasthanam,https://www.srisailadevasthanam.org/en-in/about/the-temple-history/the-history,True,False,Complex has multiple construction periods; do not assign one built year to whole temple.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
6,198,AP_TEMPLE_SRISAILAM,"Sri Mallikarjuna Swamy Temple, Srisailam",Sri Bhramaramba Mallikarjuna Swamy Varla Devasthanam,Nandyal,GOVERNMENT_DEVELOPMENT_PROJECT,prashad_project_cost,Development of Srisailam Temple under PRASHAD; project reported completed.,43.08,INR_CRORE,2022,,PILGRIMAGE_INFRASTRUCTURE,HIGH,DEVELOPMENT_HISTORY,"Ministry of Tourism, Government of India",PRASHAD,https://tourism.gov.in/sites/default/files/2022-12/PressReleasePage_26_Dec.pdf,True,False,Includes tourist infrastructure; not evidence of structural rehabilitation of sanctum.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
7,200,AP_TEMPLE_SIMHACHALAM,"Sri Varaha Lakshmi Narasimha Temple, Simhachalam",Sri Varaha Lakshmi Narasimha Swamy Vari Devasthanam,Visakhapatnam,ARCHITECTURAL_COMPONENT,natyamandapa_pillar_count,Official temple source identifies a 16-pillared Natyamandapa.,16.0,PILLARS,,,NATYAMANDAPA,HIGH,GEOMETRY_CONTEXT,Sri Varaha Lakshmi Narasimha Swamy Devasthanam,Official Temple Website,https://svlnsd.com/,True,False,"Verified architectural count, not condition.",WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
8,200,AP_TEMPLE_SIMHACHALAM,"Sri Varaha Lakshmi Narasimha Temple, Simhachalam",Sri Varaha Lakshmi Narasimha Swamy Vari Devasthanam,Visakhapatnam,ARCHITECTURAL_COMPONENT,kalyanamandapa_pillar_count,Official temple source identifies a 96-pillared Kalyanamandapa.,96.0,PILLARS,,,KALYANAMANDAPA,HIGH,GEOMETRY_CONTEXT,Sri Varaha Lakshmi Narasimha Swamy Devasthanam,Official Temple Website,https://svlnsd.com/,True,False,Verified architectural count.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
9,200,AP_TEMPLE_SIMHACHALAM,"Sri Varaha Lakshmi Narasimha Temple, Simhachalam",Sri Varaha Lakshmi Narasimha Swamy Vari Devasthanam,Visakhapatnam,GOVERNMENT_DEVELOPMENT_PROJECT,prashad_rcc_facilitation_area,PRASHAD project specifies pilgrimage facilitation halls with RCC structure.,2000.0,SQM,,RCC,PILGRIMAGE_FACILITATION_HALLS,HIGH,ANCILLARY_INFRASTRUCTURE,"Ministry of Tourism, Government of India",PRASHAD,https://tourism.gov.in/sites/default/files/2023-08/usq.1751%20for%2003.08.2023.pdf,,False,"RCC area belongs to PRASHAD facilitation halls, not historic temple core.",WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
10,201,AP_TEMPLE_ANNAVARAM,"Sri Veera Venkata Satyanarayana Swamy Temple, Annavaram",Sri Veera Venkata Satyanarayana Swamy Vari Devasthanam,Kakinada,RECONSTRUCTION_HISTORY,reconstruction_1933_1934,Official NIC Devasthanam history states the temple was reconstructed during 1933-34 using locally available stone.,1934.0,YEAR,1934,LOCAL_STONE,MAIN_TEMPLE,HIGH,REHABILITATION_HISTORY,Sri Veera Venkata Satyanarayana Swamy Vari Devasthanam / NIC,NIC Devasthanam Portal,https://annavaramdevasthanam.nic.in/Home/About,True,False,Useful material and reconstruction evidence.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
11,201,AP_TEMPLE_ANNAVARAM,"Sri Veera Venkata Satyanarayana Swamy Temple, Annavaram",Sri Veera Venkata Satyanarayana Swamy Vari Devasthanam,Kakinada,RECONSTRUCTION_HISTORY,reconstruction_2011_2012,Official history states the temple reached a dilapidated condition and was reconstructed during 2011-12.,2012.0,YEAR,2012,,MAIN_TEMPLE,HIGH,DETERIORATION_AND_REHABILITATION_HISTORY,Sri Veera Venkata Satyanarayana Swamy Vari Devasthanam / NIC,NIC Devasthanam Portal,https://annavaramdevasthanam.nic.in/Home/About,True,False,Strong historical deterioration/rehabilitation evidence but no numeric condition score.,WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
12,201,AP_TEMPLE_ANNAVARAM,"Sri Veera Venkata Satyanarayana Swamy Temple, Annavaram",Sri Veera Venkata Satyanarayana Swamy Vari Devasthanam,Kakinada,ARCHITECTURAL_STYLE,architectural_style,Official site identifies the temple as Dravidian style with main temple formed like a chariot with four wheels.,4.0,CHARRIOT_CORNER_WHEELS,,,MAIN_TEMPLE,HIGH,GEOMETRY_CONTEXT,Sri Veera Venkata Satyanarayana Swamy Vari Devasthanam / NIC,NIC Devasthanam Portal,https://annavaramdevasthanam.nic.in/Home/About,True,False,"Architectural description, not measured geometry.",WEB_VERIFIED_OFFICIAL_SOURCE,False,False,False,False,False,ap_temple_engineering_v1,2026-09-03T13:32:56.704700+00:00
